"prec","total_votes","trump","clinton","latino_reg","total_reg","county_id","county_name","pct_latino","pct_trump","pct_clinton"
"4013_westworld",4814,2420,2136,216,6473,"4013","maricopa",0.0333693805036305,0.502700457000415,0.443705857914416
"4013_whitetank",389,232,122,105,609,"4013","maricopa",0.172413793103448,0.596401028277635,0.313624678663239
"4013_whittier",1073,151,847,607,1812,"4013","maricopa",0.334988962472406,0.140726933830382,0.789375582479031
"4013_whitton",282,128,131,17,401,"4013","maricopa",0.0423940149625935,0.453900709219858,0.464539007092199
"4013_whyman",2625,1284,1156,1102,4684,"4013","maricopa",0.235269000853971,0.489142857142857,0.440380952380952
"4013_wickenburg",3493,2518,774,278,5591,"4013","maricopa",0.0497227687354677,0.720870312052677,0.22158602920126
"4013_wier",1352,708,517,200,2196,"4013","maricopa",0.0910746812386157,0.523668639053254,0.382396449704142
"4013_wigwam",5234,2705,2117,891,7464,"4013","maricopa",0.119372990353698,0.516813144822316,0.404470768055025
"4013_wigwamcreek",2248,1124,944,657,3552,"4013","maricopa",0.184966216216216,0.5,0.419928825622776
"4013_wikieup",1243,674,474,179,1892,"4013","maricopa",0.0946088794926004,0.542236524537409,0.381335478680611
"4013_wilder",2591,1096,1330,208,3316,"4013","maricopa",0.0627261761158022,0.423002701659591,0.513315322269394
"4013_wildflower",2164,953,1033,935,3972,"4013","maricopa",0.23539778449144,0.440388170055453,0.47735674676525
"4013_williamsfield",1645,969,505,258,2662,"4013","maricopa",0.0969196093163035,0.589057750759878,0.306990881458967
"4013_willow",1655,781,765,202,2270,"4013","maricopa",0.0889867841409692,0.47190332326284,0.462235649546828
"4013_willowcanyon",2481,1479,848,382,3589,"4013","maricopa",0.106436333240457,0.596130592503023,0.341797662232971
"4013_wilshire",2383,412,1792,283,3264,"4013","maricopa",0.086703431372549,0.172891313470415,0.751993285774234
"4013_windmere",4421,1785,2266,683,6871,"4013","maricopa",0.0994032891864357,0.403754806604841,0.51255372087763
"4013_wittmann",1743,1281,388,287,2762,"4013","maricopa",0.103910209992759,0.734939759036145,0.222604704532415
"4013_wolfrun",2796,1850,824,140,3799,"4013","maricopa",0.0368518031060805,0.661659513590844,0.294706723891273
"4013_wood",1838,962,723,425,3098,"4013","maricopa",0.13718528082634,0.523394994559304,0.393362350380849
"4013_woodglen",1742,645,891,370,3230,"4013","maricopa",0.114551083591331,0.370264064293915,0.511481056257176
"4013_xavier",1670,371,1167,500,2996,"4013","maricopa",0.166889185580774,0.222155688622755,0.698802395209581
"4013_youngtown",1841,957,734,675,3573,"4013","maricopa",0.188916876574307,0.51982618142314,0.398696360673547
"4013_yucca",1691,643,905,134,2379,"4013","maricopa",0.0563261874737285,0.380248373743347,0.53518628030751
"4013_yuma",1523,648,740,178,2336,"4013","maricopa",0.0761986301369863,0.425476034143139,0.485883125410374
"4013_zunihills",3151,2136,799,330,4419,"4013","maricopa",0.0746775288526816,0.677880038083148,0.253570295144399
"4015_wikieup",175,149,20,19,265,"4015","mohave",0.0716981132075472,0.851428571428571,0.114285714285714
"4015_white_hills",181,137,32,6,337,"4015","mohave",0.0178041543026706,0.756906077348066,0.176795580110497
"4015_yucca",422,332,72,35,684,"4015","mohave",0.0511695906432749,0.786729857819905,0.170616113744076
"4015_chloride",418,332,74,18,653,"4015","mohave",0.0275650842266462,0.794258373205742,0.177033492822967
"4015_north_canyon",913,781,26,14,2874,"4015","mohave",0.00487125956854558,0.855421686746988,0.0284775465498357
"4015_oatman",102,81,17,3,197,"4015","mohave",0.0152284263959391,0.794117647058823,0.166666666666667
"4015_desert_hills",1299,1003,265,87,2127,"4015","mohave",0.0409026798307475,0.772132409545804,0.204003079291763
"4015_meadview",639,479,153,27,999,"4015","mohave",0.027027027027027,0.749608763693271,0.23943661971831
"4015_dolan_springs",720,503,178,81,1374,"4015","mohave",0.0589519650655022,0.698611111111111,0.247222222222222
"4015_golden_valley",4149,3175,821,410,7452,"4015","mohave",0.0550187869028449,0.765244637261991,0.197879006989636
"4015_bullhead_city",13577,9393,3675,3231,29364,"4015","mohave",0.110032693093584,0.691831774324225,0.27067835309715
"4015_mohave_valley",8271,6002,1953,1249,15129,"4015","mohave",0.0825566792253288,0.725667996614678,0.236126224156692
"4015_hackberry",1268,988,227,49,2010,"4015","mohave",0.0243781094527363,0.779179810725552,0.179022082018927
"4015_truxton",100,81,16,1,152,"4015","mohave",0.00657894736842105,0.81,0.16
"4015_kingman_central",3486,2415,830,444,6595,"4015","mohave",0.0673237300985595,0.692771084337349,0.238095238095238
"4015_kingman_north",4282,3127,933,461,7946,"4015","mohave",0.0580166121318903,0.730266230733302,0.21788883699206
